数据库：月度数据 
时间：2024年01月-2024年12月 
指标	,2024年12月	,2024年11月	,2024年10月	,2024年9月	,2024年8月	,2024年7月	,2024年6月	,2024年5月	,2024年4月	,2024年3月	,2024年2月	,2024年1月	,
居民消费价格指数 (上年同月=100) 	,100.1	,100.2	,100.3	,100.4	,100.6	,100.5	,100.2	,100.3	,100.3	,100.1	,100.7	,99.2	,
食品烟酒类居民消费价格指数 (上年同月=100) 	,100.0	,100.9	,102.0	,102.3	,102.1	,100.2	,98.9	,99.0	,98.6	,98.6	,99.9	,96.4	,
衣着类居民消费价格指数 (上年同月=100) 	,101.2	,101.1	,101.1	,101.3	,101.4	,101.5	,101.5	,101.6	,101.6	,101.6	,101.6	,101.6	,
居住类居民消费价格指数 (上年同月=100) 	,100.1	,99.9	,99.9	,99.9	,100.0	,100.1	,100.2	,100.2	,100.2	,100.2	,100.2	,100.3	,
生活用品及服务类居民消费价格指数 (上年同月=100) 	,99.3	,99.7	,100.1	,100.1	,100.2	,100.7	,100.9	,100.8	,101.4	,101.0	,100.5	,101.0	,
交通通信类居民消费价格指数 (上年同月=100) 	,97.8	,96.4	,95.2	,95.9	,97.3	,99.4	,99.7	,99.8	,100.1	,98.7	,99.6	,97.6	,
教育文化娱乐类居民消费价格指数 (上年同月=100) 	,100.9	,101.0	,100.8	,100.6	,101.3	,101.7	,101.7	,101.7	,101.8	,101.8	,103.9	,101.3	,
医疗保健类居民消费价格指数 (上年同月=100) 	,100.9	,101.1	,101.1	,101.2	,101.3	,101.4	,101.5	,101.5	,101.6	,101.5	,101.5	,101.3	,
其他用品及服务类居民消费价格指数 (上年同月=100) 	,104.9	,105.2	,104.7	,103.5	,103.4	,104.0	,104.0	,103.6	,103.8	,102.7	,103.0	,102.9	,
非食品居民消费价格指数 (上年同月=100) 	,100.2	,100.0	,99.7	,99.8	,100.2	,100.7	,100.8	,100.8	,100.9	,100.7	,101.1	,100.4	,
消费品居民消费价格指数 (上年同月=100) 	,99.8	,100.0	,100.2	,100.5	,100.7	,100.5	,99.9	,100.0	,100.0	,99.6	,99.9	,98.3	,
服务居民消费价格指数 (上年同月=100) 	,100.5	,100.4	,100.4	,100.2	,100.5	,100.6	,100.7	,100.8	,100.8	,100.8	,101.9	,100.5	,
不包括食品和能源居民消费价格指数 (上年同月=100) 	,100.4	,100.3	,100.2	,100.1	,100.3	,100.4	,100.6	,100.6	,100.7	,100.6	,101.2	,100.4	,
数据来源：国家统计局
