数据库：月度数据 
时间： 
指标	,2025年12月	,2025年11月	,2025年10月	,2025年9月	,2025年8月	,2025年7月	,2025年6月	,2025年5月	,2025年4月	,
居民消费价格指数 (上年同月=100) 	,100.8	,100.7	,100.2	,99.7	,99.6	,100.0	,100.1	,99.9	,99.9	,
食品烟酒类居民消费价格指数 (上年同月=100) 	,100.8	,100.3	,98.4	,97.4	,97.5	,99.2	,100.1	,100.1	,100.3	,
衣着类居民消费价格指数 (上年同月=100) 	,101.7	,101.9	,101.7	,101.7	,101.8	,101.7	,101.6	,101.5	,101.3	,
居住类居民消费价格指数 (上年同月=100) 	,99.8	,100.0	,100.1	,100.1	,100.1	,100.1	,100.1	,100.1	,100.1	,
生活用品及服务类居民消费价格指数 (上年同月=100) 	,102.2	,102.1	,101.9	,102.2	,101.8	,101.2	,100.7	,100.1	,100.2	,
交通通信类居民消费价格指数 (上年同月=100) 	,97.4	,97.7	,98.5	,98.0	,97.6	,96.9	,96.3	,95.7	,96.1	,
教育文化娱乐类居民消费价格指数 (上年同月=100) 	,100.9	,100.8	,100.9	,100.8	,101.0	,100.9	,101.0	,100.9	,100.7	,
医疗保健类居民消费价格指数 (上年同月=100) 	,101.8	,101.6	,101.4	,101.1	,100.9	,100.5	,100.4	,100.3	,100.2	,
其他用品及服务类居民消费价格指数 (上年同月=100) 	,117.4	,114.2	,112.8	,109.9	,108.6	,108.0	,108.1	,107.3	,106.6	,
非食品居民消费价格指数 (上年同月=100) 	,100.8	,100.8	,100.9	,100.7	,100.5	,100.3	,100.1	,100.0	,100.0	,
消费品居民消费价格指数 (上年同月=100) 	,101.0	,100.6	,99.8	,99.2	,99.0	,99.6	,99.8	,99.5	,99.7	,
服务居民消费价格指数 (上年同月=100) 	,100.6	,100.7	,100.8	,100.6	,100.6	,100.5	,100.5	,100.5	,100.3	,
不包括食品和能源居民消费价格指数 (上年同月=100) 	,101.2	,101.2	,101.2	,101.0	,100.9	,100.8	,100.7	,100.6	,100.5	,
数据来源：国家统计局
