数据库：月度数据 
时间：2025年07月-2026年07月 
指标	,2026年6月	,2026年5月	,2026年4月	,2026年3月	,2026年2月	,2026年1月	,
居民消费价格指数 (上年同月=100) 	,101.0	,101.2	,101.2	,101.0	,101.3	,100.2	,
食品烟酒及在外餐饮类居民消费价格指数(上年同月=100)	,99.2	,99.1	,99.2	,100.4	,101.4	,99.8	,
衣着类居民消费价格指数 (上年同月=100) 	,101.4	,101.4	,101.5	,101.6	,101.9	,101.9	,
居住类居民消费价格指数 (上年同月=100) 	,99.7	,99.8	,99.8	,99.8	,99.8	,99.9	,
生活用品及服务类居民消费价格指数 (上年同月=100) 	,101.3	,101.8	,101.4	,101.5	,102.8	,102.6	,
交通通信类居民消费价格指数 (上年同月=100) 	,104.1	,105.4	,104.6	,100.9	,99.3	,96.6	,
教育文化娱乐类居民消费价格指数 (上年同月=100) 	,101.4	,101.3	,101.3	,101.1	,102.0	,100.0	,
医疗保健类居民消费价格指数 (上年同月=100) 	,102.3	,102.1	,102.2	,101.9	,101.9	,101.7	,
其他用品及服务类居民消费价格指数 (上年同月=100) 	,106.6	,109.9	,111.0	,113.5	,115.4	,113.2	,
非食品居民消费价格指数 (上年同月=100) 	,101.5	,101.9	,101.8	,101.2	,101.3	,100.4	,
消费品居民消费价格指数 (上年同月=100) 	,101.1	,101.6	,101.4	,101.3	,101.1	,100.3	,
服务居民消费价格指数 (上年同月=100) 	,100.8	,100.8	,100.9	,100.8	,101.6	,100.1	,
不包括食品和能源居民消费价格指数 (上年同月=100) 	,101.0	,101.1	,101.2	,101.1	,101.8	,100.8	,
数据来源：国家统计局
